ID  объявления;Количество комнат;Тип;Метро;Адрес;Площадь, м2;Дом;Парковка;Цена;Телефоны;Описание;Ремонт;Площадь комнат, м2;Балкон;Окна;Санузел;Можно с детьми/животными;Дополнительно;Название ЖК;Серия дома;Высота потолков, м;Лифт;Мусоропровод;Ссылка на объявление
169335600;2, Изолированная;Квартира;м. Коптево (7 мин пешком);Москва, 1-й Лихачевский переулок, 4К2;46.0/30.0/7.0;2/5, Кирпичный;;29000.0 руб./ За месяц, Залог - 15000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79258689374;Квартира возле метро,кровать,диван,вся мебель,хорошая бытовая,квартира возле парка,комнаты раздельные,ждем ваши предложения., Возможен торг, 13 фото;Косметический;20-10;Балкон (1);Во двор;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Телевизор, Холодильник, Интернет, Телефон;;;;;Нет;https://www.cian.ru/rent/flat/169335600
170688253;2;Квартира;м. Петровско-Разумовская (10 мин на машине);Москва, Селигерская улица, 34;40.0/23.0/7.0;5/14;;30000.0 руб./ За месяц, Залог - 30000 руб., Срок аренды - Длительный, Предоплата 1 мес;+79250062214, +79262114798;Сдается 2-комнатная квартира, Комнаты ИЗОЛИРОВАННЫЕ - 14 и 10 кв.м., квартира небольшая, но уютная. Большая застекленная лоджия. Вся необходимая мебель и бытовая техника в наличии. Рядом Орловский сад. Рассмотрим разные составы славян. Показываем по договоренности. Сумма депозита может быть снижена. Лот: 21429907, 9 фото;;14-9;Лоджия (1);;;;Мебель в комнатах, Мебель на кухне, Стиральная машина, Телевизор, Холодильник;;;;Пасс (1);;https://www.cian.ru/rent/flat/170688253
170542963;2;Квартира;м. Нижегородская (7 мин пешком);Москва, Нижегородская улица, 63;45.0/32.0/7.0;4/5;;30000.0 руб./ За месяц, Залог - 30000 руб., Срок аренды - Длительный, Предоплата 1 мес;+79265247433, +79260101492;Квартира после свежего косметического ремонта. Окна стеклопакеты. Вся мебель,вся бытовая техника в хорошем состоянии. Санузел совмещенный. Застекленная лоджия. СЛАВЯН. Срочно. Звоните уважаемые клиенты и агенты.(14755)., 9 фото;Косметический;20+12;Балкон (1);Во двор;;Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;;;;https://www.cian.ru/rent/flat/170542963
172823914;2, Смежная;Квартира;м. Коптево (22 мин пешком);Москва, Большая Академическая улица, 21;45.0/29.0/6.0;3/5, Кирпичный;наземная;30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79032165313, +79685966686;До станции МЦК  Коптево 20мин пешком, транспортная доступность (8мин) до м.Войковская. Кирпичный дом. Квартира со СМЕЖНЫМИ КОМНАТАМИ. Обычное жилое состояние. Кухня наборная, газовая колонка. Сан.узел совмещен. Балкон. Мебель наборная. Вся бытовая техника, ТВ. Рассматриваются приличные люди на длительный срок. КРОМЕ АЗИИ. Можно с детьми. Состав, национальность, животные - ВСЕ ОБСУЖДАЕТСЯ., 10 фото;Косметический;18+11;Балкон (1);Во двор;Совмещенный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;;;;https://www.cian.ru/rent/flat/172823914
167919978;2, Изолированная;Квартира;м. Царицыно (10 мин на машине);Москва, Липецкая улица, 17К1;56.0/30.0/10.0;6/17, Панельный;наземная;30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79852762702;Сдается чистая, уютная квартира с изолированными комнатами Встроенный кухонный гарнитур со всей бытовой техникой. Необходимая мебель для проживания. Большая лоджия.Депозит можно разбить на два месяца. Ключи у агента., 9 фото;Косметический;18-12;Лоджия (1);Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Телевизор, Холодильник, Интернет;;;2.64;Пасс (1), Груз (1);Да;https://www.cian.ru/rent/flat/167919978
173047186;2, Изолированная;Квартира;м. Выхино (8 мин пешком);Москва, Ферганская улица, 13К1;50.0/32.0/10.0;5/12, Панельный;;30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79683879056;Внимательно смотрите фото.ДЕПОЗИТ РАЗБИВАЕТСЯ НА ДВЕ ЧАСТИ!!!! Сдается двухкомнатная квартира в шаговой доступности от метро ВЫХИНО. На длительный срок. Чистая, уютная квартира, с ХОРОШИМ РЕМОНТОМ. Для вашего комфортного проживания в наличии имеется холодильник, стиральная машина,обеденный стол и стулья, интернет, три  дивана, одна кровать, несколько вместительных шкафов. Порядочные собственники, адекватные соседи. Развитая инфраструктура, в пешей доступности от дома гипермаркет, торговый центр, кинотеатр, рестораны, школа. Удобная транспортная развязка. Чистый подъезд. Оперативный показ. Более подробная информация по телефону., 8 фото;Косметический;20-12;;Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;;Пасс (1);Да;https://www.cian.ru/rent/flat/173047186
172368110;2, Смежная;Квартира;м. Измайловская (10 мин пешком);Москва, Никитинская улица, 1К2;48.0/36.0/8.0;4/5, Кирпичный;наземная;30000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79039797272;Квартира после косметического ремонта.Комнаты смежные. Укомплектована всей мебелью. Вся бытовая техника включая мелкую. Кухонный гарнитур. Су совмещенный. Балкон.  Ламинат. Длительный срок аренды. Замечательные собственники. Оперативный показ.;Косметический;20+16;Балкон (1);Во двор;Совмещенный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;2.48;;;https://www.cian.ru/rent/flat/172368110
170785443;2, Изолированная;Квартира;м. Варшавская (10 мин пешком);Москва, Артековская улица, 6;45.0/28.0/8.0;3/9, Панельный;наземная;30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79175131325, +79066442791;Владислав.  Квартира обычная, требует косметического ремонта. Вся мебель и бытовая. Балкон неостеклен. Санузел совмещён в плитке. СТРОГО Славян. Звоните Уважаемые клиенты и коллеги., 9 фото;Косметический;18+10;Балкон (1);Во двор;Совмещенный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;2.64;Пасс (1);Да;https://www.cian.ru/rent/flat/170785443
170802531;2, Изолированная;Квартира;м. Улица Скобелевская (20 мин пешком);Москва, 1-я Мелитопольская улица, 4;55.0/32.0/13.0;8/16, Блочный;наземная;30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79163253812;Сдается двухкомнатная квартира с изолированными комнатами в 5 минутах ходьбы от Ж/Д станции Бутово.В комнатах есть вся необходимая мебель и техника.Просторная кухня.Санузел раздельный.Имеется застекленный балкон.Металлическая дверь.Интернет.Домофон.Консьерж.Рядом школа.Подробности по телефону., 22 фото;Косметический;20-12;Балкон (1), Лоджия (1);Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;;Пасс (1), Груз (1);Да;https://www.cian.ru/rent/flat/170802531
171759259;2, Изолированная;Квартира;м. Бульвар Рокоссовского (18 мин пешком);Москва, Погонный проезд, 3К1;45.0/32.0/7.0;1/9, Кирпичный;;30000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79651326579;БЕЗ ЗАЛОГА!!! Сдается двухкомнатная квартира с изолированными комнатами в ОТЛИЧНОМ СОСТОЯНИИ.Окна стеклопакеты,полы ламинат.В кухне гарнитур.Квартира не загружена мебелью,  двухспальная кровать,шкаф,стеллаж.Сан.узел раздельный в плитке.Вся быт.техника.Рассмотрят клиентов славянской внешности,ЛЮБОЙ СОСТАВ;Косметический;20-12;;Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Стиральная машина, Телевизор, Холодильник, Интернет;;;;;Да;https://www.cian.ru/rent/flat/171759259
172356516;2;Квартира;м. Щукинская (5 мин на машине);Москва, улица Паршина, 35К2;45.0/32.0/6.0;3/5, Панельный;;30000.0 руб./ За месяц, Залог - 30000 руб., Срок аренды - Длительный, Предоплата 1 мес;+79639252247, +74993222320;"Лот  45887 Сдается квартира это 3х комнатная с одной закрытой комнатой рассмотрим любой состав с детьми с животными.... 
Депозит 50 %, 10 фото";Без ремонта;15+10;Балкон (1);Во двор;Раздельный (1);Можно с детьми, Можно с животными;Ванна, Стиральная машина, Холодильник;;;;Пасс (1);;https://www.cian.ru/rent/flat/172356516
170461631;2;Квартира;;Москва, улица Егора Абакумова, 9;63.0/30.0/8.0;4/4;;30000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 2 мес;+79777713425, +79268758691;Уютная квартирка на долгий срок, оплата первый  и последний месяц проживания (без залога) сдаётся 20 февраля., 14 фото;;18-12;Балкон (1);На улицу и двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;;;;https://www.cian.ru/rent/flat/170461631
170837405;2;Квартира;м. Каховская (10 мин пешком);Москва, Керченская улица, 10К1;58.0/40.0/6.0;5/5, Блочный;;30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79150133326;Сдам просторную и уютную 2-х ком квартиру, с мебелью,после ремонта ,сантехника новая .Рассмотрим всех приличных, порядочных и платежеспособных. На длительный срок .Спальные места в каждой комнате. Развитая инфраструктура, рядом парк и пруд. Удобные транспортные сообщения., 7 фото;Косметический;22-18;Балкон (1);;Совмещенный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник;;;2.48;;;https://www.cian.ru/rent/flat/170837405
171496440;2;Квартира;м. Бунинская аллея (20 мин пешком);Москва, пос. Коммунарка, улица Александры Монаховой, 98к1;47.0/35.0/10.0;2/18, Монолитный;;30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79637617733;Кроме АЗИИ!!Сдается на длительный срок,квартира-студия,с евроремонтом.Мебель. И быттехника новые.Сус евростандарт.Рассмотрим всех приличных!, 13 фото;Евроремонт;20-15;;Во двор;Совмещенный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Стиральная машина, Холодильник;;;;;Нет;https://www.cian.ru/rent/flat/171496440
171027372;2, Изолированная;Квартира;м. Первомайская (10 мин пешком);Москва, Нижняя Первомайская улица, 41;44.0/27.0/6.3;4/9, Панельный;наземная;30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79166090575;Сдается  уютная чистая квартира в пешей доступности от метро.   Зеленый  благополучный район  с развитой инфраструктурой, комнаты изолированные,  вся мебель и бытовая техника  в хорошем состоянии,   стеклопакеты, чистый подъезд. Рассматриваем славян , желательно семью. Залог можем разбить.    Возможен торг., 26 фото;Косметический;17-10;;Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник;;;2.64;;Да;https://www.cian.ru/rent/flat/171027372
151826576;2;Квартира;;Москва, Московский поселение, Зеленая Горка СНТ, проезд Центральный, 20;55.0/35.0/20.0;3/3, Панельный;;30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79688954309, +79161678817;"Сдается в аренду уютная двухкомнатная квартира - студия 50 м в частном доме по адресу Центральный проезд снт Зеленая горка. Идеальный бюджетный вариант для не большой семьи.С мебелью. З-х этажный дом рассчитан на 5 квартир. Залог можем разбить.
ТОЛЬКО РУССКИХ!БЕЗ ДЕТЕЙ! Квартира на третьем этаже., 16 фото";Косметический;20+15;;Во двор;Совмещенный (1);;Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Холодильник, Интернет;;Индивидуальный;2.64;;Да;https://www.cian.ru/rent/flat/151826576
171731202;2, Изолированная;Квартира;м. Строгино (12 мин пешком);Москва, улица Твардовского, 31К2;53.0/30.0/8.0;3/12, Панельный;;30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79166241618;Срочно! Квартира в жилом состоянии. Вся мебель для проживания есть.   Заселение с 01.03.2018 г.;Косметический;18-12;Балкон (1);Во двор;Раздельный (1);;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник;;;2.64;Пасс (2);Да;https://www.cian.ru/rent/flat/171731202
169619179;2, Изолированная;Квартира;м. Щелковская (15 мин пешком);Москва, Щелковское шоссе, 85К4;45.0/33.0/7.0;3/5, Панельный;наземная;30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79256406740;ВНИМАНИЕ !!!    ВПЕРВЫЕ предлагается в аренду ОЧЕНЬ чистая и светлая квартира. Комнаты Изолированы. Ковры и паласы  можно убрать. Окна ПВХ.  Полы Хороший Паркет. Санузел Чистый. 2 холодильника, стиральная машинка. Вся мебель имеется. Балкон. Чистый подьезд. Тихие соседи. Рассмотрим славян. Без животных. ТОРОПИТЕСЬ !!!, 17 фото;Косметический;19-14;Балкон (1);Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;3.0;;;https://www.cian.ru/rent/flat/169619179
170088377;2, Изолированная;Квартира;м. Петровско-Разумовская (5 мин на машине);Москва, Лобненская улица, 8;44.0/32.0/7.0;3/9, Кирпичный;наземная;30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79169095464;ГОТОВА К ЗАСЕЛЕНИЮ. ТОЛЬКО ЧТО ПОСЛЕ КОСМЕТИКИ. ОТЛИЧНОЕ ПРЕДЛОЖЕНИЕ. Очень тёплая, уютная и чистая квартира. В большой комнате РОЯЛЬ, играть можно, сделана звукоизоляция. Полностью меблирована, ДВА НОВЫХ ДИВАНА 1,40. БЫТОВАЯ ТЕХНИКА ВСЯ НОВАЯ. Пол паркет, без балкона, комнаты изолированы. Развитая инфраструктура, рядом парки, школы, дет сады, ТЦ ЗИГ ЗАГ. Кавказ и Азию не предлагать. Покажу в любое удобное для Вас время., 30 фото;Косметический;20-12;;;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;;Пасс (1);Да;https://www.cian.ru/rent/flat/170088377
172356855;2, Изолированная;Квартира;;Москва, улица Софьи Ковалевской, 10К1;50.0/32.0/8.0;2/9, Панельный;наземная;30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79250854685;А Г Е Н Т . 89250854685 .  Рассмотрим ВСЕХ Приличных и Платежеспособных Людей , Состав Арендаторов Обсуждается . Сдается ВПЕРВЫЕ . На Длительный Срок .  Великолепная Современная Квартира С Косметическим Ремонтом . ПЛАСТИКОВЫЕ ОКНА . ПОЛЫ ЛАМИНАТ . КОМНАТЫ ИЗОЛИРОВАННЫЕ  . Окна Выходят во Двор , Тихо , Спокойно . Абсолютно Вся Необходимая Для Проживания Мебель и Вся Бытовая Техника (Холодильник , Стиральная Машина , ТВ) . Встроенный Кухонный Гарнитур . Санузел в Плитке Полностью . Тихий Спокойный Район С Развитой Инфраструктурой . Замечательный Собственник . Оперативно Покажем ., 13 фото;Косметический;17-15;Балкон (1);Во двор;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;2.64;Пасс (1);Да;https://www.cian.ru/rent/flat/172356855
171099089;2, Изолированная;Квартира;м. Медведково (25 мин пешком);Москва, Стартовая улица, 15к1;45.0/30.0/7.0;5/9, Панельный;наземная;30000.0 руб./ За месяц, Залог - 15000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79015162351;"Залоговая Сумма (страховой депозит) Всего 15.000 руб. Ремонт свежая косметика. Комнаты Изолированные, мебель наборная (два новых дивана, стенка, гардероб 2-х створчатый, комод), вся бытовая техника- стиральная машина авт., ТВ, холодильник, сан.узел раздельный, плитка, лоджия застекленная 2,3 / 4 м., в наличии телефон, интернет Wi-Fi, интерактив ТВ. Квартира расположена в прекрасном экологически чистом районе, рядом парк и проточное озеро. Возле дома относительно свободная стоянка, возможна аренда гаражного бокса. Удобная транспортная доступность; метро Медведково и Бабушкинская в 8-10 минутах транспортом, или платформа электрички Лось пешком 10-12 минут, приезжает на станцию метро Комсомольская через 15 минут . Квартира сдается на длительный срок, рассматриваем желательно славян, можно с детьми,  строго без животных, порядочные собственники. Смотрите Пожалуйста ФОТО., Возможен торг, взаимная симпатия и количество проживающих, 12 фото";Косметический;18-12;Лоджия (1);Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;2.64;Пасс (2);Да;https://www.cian.ru/rent/flat/171099089
172071890;2, Изолированная;Квартира;м. Выхино (20 мин пешком);Москва, Ферганский проезд, 2/32;47.0/32.0/8.0;5/14, Блочный;;30000.0 руб./ За месяц, Залог - 10000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79269465879;2-х комнатная квартира с изолированными комнатами после косметического ремонта. Имеется вся необходимая мебель: угловой шкаф, диван, кушетка с ортопедическим матрасом, кухонный гарнитур. Современная бытовая техника: 2-х камерный холодильник, стиральная машина-автомат, газовая плита, чайник, пылесос, 2 телевизора, в т.ч. ЖК. Имеется вся необходимая посуда. Раздельный санузел. Пластиковые окна. Застекленный балкон. Интернет, Wi-Fi роутер, телефон. Домофон. Новая металлическая дверь. Тамбур на 4-е квартиры. Замечательная хозяйка. Все вопросы обсуждаются. Что не нужно, могут вывезти или довезти по желанию нанимателя. Оперативный показ и заселение. Ключи на руках!, 10 фото;Косметический;20-12;Балкон (1);;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;;Пасс (2);Да;https://www.cian.ru/rent/flat/172071890
171968138;2, Смежная;Квартира;м. Бульвар Рокоссовского (25 мин пешком);Москва, улица Николая Химушина, 19К1;44.0/6.0;2/5, Кирпичный;;30000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79160249455;"Прекрасная  квартира со смежно проходными комнатами и балконом. Квартира в хорошем состоянии.Есть вся необходимая для проживания мебель  и бытовая техника. Многолетний район с развитой инфраструктурой ( школа, детский сад, поликлиника, банк и т.д). Вокруг национальный парк "" Лосиный остров"", бассейн, велосипедные и пешие дорожки. Удобное расположение дома между 2-х станций метро(  Бульвар Рокоссовского, Щелковская). От метро около 2км ( минут 20-25 пешком) или несколько остановок на общественном транспорте. Рассмотрим славянскую семейную пару. Квартира сдается без депозита!!!!! Замечательный хозяин. Очень длительная аренда. Оперативный показ и заселение., 5 фото";Косметический;18+11;Балкон (1);Во двор;Совмещенный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник;;;2.48;;;https://www.cian.ru/rent/flat/171968138
164479738;2, Изолированная;Квартира;м. Выхино (7 мин пешком);Москва, Снайперская улица, 2К1;55.0/38.0/10.0;7/17, Панельный;;30000.0 руб./ За месяц, Залог - 15000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79161931818;Сдается двухкомнатная квартира.После косметического ремонта со всей необходимой мебелью и бытовой техникой.Хороший зеленый район, доброжелательный собственник, адекватные соседи.Рассмотрим доброжелательных и адекватных арендодателей.Звоните уважаемые клиенты и коллеги всегда рады вашему звонку за консультацию и просмотр денег не берем., 4 фото;Косметический;20-18;Лоджия (1);Во двор;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет, Телефон;;;2.64;Пасс (1), Груз (1);Да;https://www.cian.ru/rent/flat/164479738
171347826;2, Смежная;Квартира;м. Преображенская площадь (15 мин на машине);Москва, 3-я Богатырская улица, 21;42.0/30.0/6.0;1/5, Кирпичный;;30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79646499777;Сдается после свежего капитального ремонта уютная квартира. Смежные комнаты. Первый этаж. На полу ламинат, на стенах обои. В дальней комнате диван и гардеробная комната, в зале диван, сервант, шкаф новый платяной. Стиральную машину и холодильник собственница купить в день заселения, можно со своей техникой снимать. Славян рассмотрим., 10 фото;Евроремонт;17+12;;Во двор;Совмещенный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник;;;2.48;;Нет;https://www.cian.ru/rent/flat/171347826
172666106;2, Изолированная;Квартира;м. Алтуфьево (10 мин на машине);Москва, Дмитровское шоссе, 165Ек3;70.0/32.0/13.0;2/14, Панельный;наземная;30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79685003299;Смотрите Фото!!! Новая кухня. Тихий, уютный двор, д/сад, поликлиника рядом. Недалеко ТЦ РИО, Метро К&К. Рассмотрим ВСЕХ приличных и платежеспособных! Квартира после свежего косметического ремонта новая кухня и прочие бытовые предметы. В квартире есть все необходимое для комфортного проживания. Подробности по телефону, 8 фото;Косметический;19-14;Лоджия (1);Во двор;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;2.74;Пасс (1), Груз (1);Да;https://www.cian.ru/rent/flat/172666106
172657073;2;Квартира;м. Улица Скобелевская (8 мин пешком);Москва, Новобутовская улица, 8;50.0/36.0/8.0;10/21;;30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79017152199;Сдается на длительный срок 2-х комнатная квартира, частично меблированная . В шаговой доступности  до метро. Состояние ремонта среднее . Во дворе отличная детская площадка. развитая инфраструктура .Рассмотрим всех порядочных и платежеспособных граждан. Депозит можно разбить на два месяца., 9 фото;Косметический;20-16;Лоджия (1);;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;;;;https://www.cian.ru/rent/flat/172657073
153216572;2;Квартира;м. Новогиреево (15 мин пешком);Москва, Свободный проспект, 11К2;44.0/28.0/7.0;3/9, Панельный;наземная;30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79670092525;Чистая квартира/гарнитурная  мебель /новый кухонный гарнитур/рядом с домом парк  . Рассматривают славян ., 8 фото;Косметический;18-10;Балкон (1);Во двор;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;2.64;Пасс (1);Да;https://www.cian.ru/rent/flat/153216572
172189814;2;Квартира;м. Измайловская (12 мин пешком);Москва, 2-я Прядильная улица, 6;52.0/34.0/9.0;8/12;;30000.0 руб./ За месяц, Залог - 30000 руб., Срок аренды - Длительный, Предоплата 1 мес;+79265261289, +79262114798;ОТЛИЧНОЕ ПРЕДЛОЖЕНИЕ!!! Сдается ,уютная двухкомнатная квартира. На кухне гарнитур, вся техника и мебель для проживания имеется , на длительный срок. Лот: 21430382;;20+14;Балкон (2);;;;Мебель в комнатах, Мебель на кухне, Стиральная машина, Телевизор, Холодильник, Телефон;;;;Пасс (1);;https://www.cian.ru/rent/flat/172189814
170790802;2, Изолированная;Квартира;м. Выхино (14 мин пешком);Москва, Ферганская улица, 11К1;51.3/31.4/9.6;2/12, Панельный;наземная;30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79166730662, +79039681554;Сдам уютную 2-х комнатную квартиру приличным людям. Мебель и бытовая техника имеется. Дом находиться в глубине от улицы, прекрасная детская площадка. Магазины, школа, торговый центр., 8 фото;Косметический;18,9-12,5;;Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;2.48;;Да;https://www.cian.ru/rent/flat/170790802
167547379;2, Изолированная;Квартира;м. Щелковская (28 мин пешком);Москва, Уссурийская улица, 1К2;44.0/29.0/7.0;9/9, Панельный;;30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79031700291;"В комн.19 метров есть угловой шкаф, диван с матрасом, стол, стулья, кресло, ТВ; в комн.10 метров - двухспальная софа, шкаф, журнальный столик, на кухне -полки, холодильник, стол, табуретки. Есть стиральная машина, полы линолиум, с/у раздельный. Удобное транспортное сообщение м.Щелковская, м.Первомайская, м. Черкизовская, МЦК, ходят автобусы и маршрутные такси (от м.Щелковская 4 остановки), удобный выезд на МКАД, Щелковское шоссе. Развитая инфраструктура: в пешей доступности супермаркеты, аптеки, детские сады, школа, детская и взрослая поликлиники, мед. центр, салоны красоты. Парк Лосиный остров в 5 мин, детские площадки, всегда есть парковочные места около дома. Вид из окон на тихую улицу, 9 фото";Без ремонта;;;Во двор;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник;;;2.64;;Да;https://www.cian.ru/rent/flat/167547379
172357019;2, Изолированная;Квартира;м. Щукинская (5 мин пешком);Москва, Врачебный проезд, 2;46.0/28.0/7.0;1/5, Кирпичный;;30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79031354642;Отличное предложение! 2х комнатная изолированная квартира. 5 минут пешком до метро ЩУКИНСКАЯ. Есть все необходимое для комфортного проживания. Окна ПВХ(пластиковые), чистая, теплая квартира, недавно был косметический ремонт. Залог можно разделить. Ждем порядочных арендаторов на длительный срок, семья РФ славяне., 15 фото;Косметический;18-10;;Во двор;Совмещенный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;2.48;;;https://www.cian.ru/rent/flat/172357019
